id,heuristics,n,m,val,penalty_param,feasible_rate,average,std,range
synthetic_random_n5.txt,Greedy,5,6,11.0,,,,,
synthetic_random_n5.txt,Spectral,5,6,8.0,,,,,
synthetic_random_n5.txt,SA_warm,5,6,,16.0,1.0,10.36,1.717672844286711,"(8, 15)"
synthetic_random_n5.txt,TB_warm,5,6,,16.0,1.0,8.0,0.0,"(8, 8)"
synthetic_random_n10.txt,Greedy,10,17,62.0,,,,,
synthetic_random_n10.txt,Spectral,10,17,42.0,,,,,
synthetic_random_n10.txt,SA_warm,10,17,,103.0,0.99,58.464646464646464,7.307548513629804,"(42, 80)"
synthetic_random_n10.txt,TB_warm,10,17,,103.0,1.0,35.0,0.0,"(35, 35)"
synthetic_random_n15.txt,Greedy,15,38,209.0,,,,,
synthetic_random_n15.txt,Spectral,15,38,166.0,,,,,
synthetic_random_n15.txt,SA_warm,15,38,,348.0,0.89,198.17977528089887,17.242201818358552,"(163, 249)"
synthetic_random_n15.txt,TB_warm,15,38,,348.0,1.0,137.57,10.4165781329571,"(129, 166)"
synthetic_random_n20.txt,Greedy,20,67,461.0,,,,,
synthetic_random_n20.txt,Spectral,20,67,355.0,,,,,
synthetic_random_n20.txt,SA_warm,20,67,,822.0,0.57,456.7368421052632,28.93521275878444,"(363, 515)"
synthetic_random_n20.txt,TB_warm,20,67,,822.0,1.0,350.64,1.170640850132952,"(346, 354)"
synthetic_random_n25.txt,Greedy,25,105,943.0,,,,,
synthetic_random_n25.txt,Spectral,25,105,641.0,,,,,
synthetic_random_n25.txt,SA_warm,25,105,,1610.0,0.19,896.7368421052631,43.88842564751183,"(818, 997)"
synthetic_random_n25.txt,TB_warm,25,105,,1610.0,1.0,611.79,3.6312394578160228,"(599, 622)"
real_world_ENZYMES_g157_processed.txt,Greedy,8,15,43.0,,,,,
real_world_ENZYMES_g157_processed.txt,Spectral,8,15,25.0,,,,,
real_world_ENZYMES_g157_processed.txt,SA_warm,8,15,,65.0,0.99,42.85858585858586,4.799011053447694,"(29, 52)"
real_world_ENZYMES_g157_processed.txt,TB_warm,8,15,,65.0,1.0,25.0,0.0,"(25, 25)"
real_world_iscas89-s27_processed.txt,Greedy,9,8,31.0,,,,,
real_world_iscas89-s27_processed.txt,Spectral,9,8,9.0,,,,,
real_world_iscas89-s27_processed.txt,SA_warm,9,8,,50.0,0.99,23.09090909090909,4.671190251474769,"(12, 37)"
real_world_iscas89-s27_processed.txt,TB_warm,9,8,,50.0,1.0,9.0,0.0,"(9, 9)"
real_world_ENZYMES_g373_processed.txt,Greedy,10,20,60.0,,,,,
real_world_ENZYMES_g373_processed.txt,Spectral,10,20,36.0,,,,,
real_world_ENZYMES_g373_processed.txt,SA_warm,10,20,,115.0,0.98,69.0204081632653,8.94653004429107,"(46, 85)"
real_world_ENZYMES_g373_processed.txt,TB_warm,10,20,,115.0,1.0,36.0,0.0,"(36, 36)"
real_world_ENZYMES_g217_processed.txt,Greedy,15,34,148.0,,,,,
real_world_ENZYMES_g217_processed.txt,Spectral,15,34,72.0,,,,,
real_world_ENZYMES_g217_processed.txt,SA_warm,15,34,,322.0,0.87,174.32183908045977,17.208988731750253,"(116, 210)"
real_world_ENZYMES_g217_processed.txt,TB_warm,15,34,,322.0,1.0,72.0,0.0,"(72, 72)"
real_world_soc-tribes_processed.txt,Greedy,16,58,304.0,,,,,
real_world_soc-tribes_processed.txt,Spectral,16,58,217.0,,,,,
real_world_soc-tribes_processed.txt,SA_warm,16,58,,510.0,0.79,326.56962025316454,17.341458003252704,"(280, 357)"
real_world_soc-tribes_processed.txt,TB_warm,16,58,,510.0,1.0,214.13,1.1371455491712572,"(213, 216)"
real_world_wafa-hightech_processed.txt,Greedy,21,159,1206.0,,,,,
real_world_wafa-hightech_processed.txt,Spectral,21,159,1001.0,,,,,
real_world_wafa-hightech_processed.txt,SA_warm,21,159,,1446.0,0.41,1160.0243902439024,30.075099338787787,"(1101, 1213)"
real_world_wafa-hightech_processed.txt,TB_warm,21,159,,1446.0,1.0,1000.34,1.0219589032832974,"(996, 1001)"
